OBJECTID,COD_ID,DIST,FAS_CON,SIT_ATIV,TIP_UNID,POT_NOM,PAC_1,PAC_2,CTMT,UNI_TR_S,SUB,CONJ,MUN,DAT_CON,BANC,POS,DESCR,ARE_LOC
"111","12909464","6600",ABC,AT,"10","14",MRU12909550, ,"51696910","12909459","12873415","15809","2507507",01/01/1920,"0",PD, ,UB
"112","12909465","6600",ABC,AT,"10","18",MRU12909551, ,"51696910","12909459","12873415","15809","2507507",01/01/1920,"0",PD, ,UB
"113","12909679","6600",ABC,AT,"10","14",ORT12909711, ,"51696915","12909677","12873481","13719","2511202",01/01/1920,"0",PD, ,NU
"114","12909834","6600",ABC,AT,"10","14",PBL91368369, ,"58067970","12909835","12873429","13720","2512101",01/01/1920,"0",PD, ,UB
"115","12909975","6600",ABC,AT,"10","14",PCO91853030, ,"17067368","12909972","12873432","13723","2511301",01/01/1920,"0",PD, ,NU
"116","12910082","6600",ABC,AT,"10","18",PLT12910097, ,"17067373","12910083","12873426","13725","2510907",01/01/1920,"0",PD, ,NU
"117","12910195","6600",ABC,AT,"10","14",PRI90800977, ,"17067383","12910196","12873434","13727","2512309",01/01/1920,"0",PD, ,UB
"118","12910321","6600",ABC,AT,"10","18",PRT12910338, ,"51696922","12910319","12873480","15803","2507507",01/01/1920,"0",PD, ,UB
"119","12910484","6600",ABC,AT,"10","14",PTS12910538, ,"349857952","12910486","12873439","13728","2510808",01/01/1920,"0",PD, ,UB
"120","12910485","6600",ABC,AT,"10","18",PTS12910535, ,"349857952","12910486","12873439","13728","2510808",01/01/1920,"0",PD, ,UB
"121","12874663","6600",ABC,AT,"10","14",BQR259907258, ,"26260880","12874661","12873460","13689","2502508",01/01/1920,"0",PD, ,UB
"122","12911289","6600",ABC,AT,"10","14",SPE12911313, ,"51696935","13607733","12873413","13736","2515302",01/01/1920,"0",PD, ,UB
"123","12909002","6600",ABC,AT,"10","18",MGB208315160, ,"51696894","12908998","12873488","15808","2507507",01/01/1920,"0",PD, ,UB
"124","16933012","6600",ABC,AT,"10","6",56107774925559782MT, ,"17067431","12911405","12873435","13737","2500700",01/01/1920,"1",PD, ,UB
"125","16933013","6600",ABC,AT,"10","6",55618341926374235MT, ,"17067433","12911405","12873435","13737","2512077",01/01/1920,"1",PD, ,NU
"126","16933014","6600",ABC,AT,"10","6",55488871926140193MT, ,"17067436","12911405","12873435","13737","2500700",01/01/1920,"1",PD, ,NU
"127","16933017","6600",ABC,AT,"10","6",60128337924958341MT, ,"17067441","12911923","12873440","13739","2500775",01/01/1920,"1",PD, ,UB
