OBJECTID,COD_ID,DIST,FAS_CON,SIT_ATIV,TIP_UNID,PAC_1,PAC_2,CTMT,UNI_TR_S,SUB,CONJ,MUN,DAT_CON,BANC,POS,DESCR
"232","16932963","6600",ABC,AT,"13",59901166926687761MT,59901149926687860MT,"17067446","12911922","12873440","13739","2516201",01/01/1920,"1",PD, 
"233","16932964","6600",ABC,AT,"13",59728459926009351MT,59728518926009432MT,"17067446","12911922","12873440","13739","2516201",01/01/1920,"1",PD, 
"234","16932966","6600",ABC,AT,"14",58796148925404011MT,58796247925404012MT,"17067446","12911922","12873440","13739","2516201",01/01/1920,"1",PD, 
"235","16932967","6600",ABC,AT,"13",68455471919654729MT,68455378919654765MT,"17067455","12912294","12873427","13742","2509396",01/01/1920,"1",PD, 
"236","16932968","6600",ABC,AT,"13",66967195918728282MT,66967102918728245MT,"17067455","12912294","12873427","13742","2506707",01/01/1920,"1",PD, 
"237","16932969","6600",ABC,AT,"14",70362337919657655MT,70362436919657638MT,"17067458","12912294","12873427","13742","2516706",01/01/1920,"1",PD, 
"238","16932970","6600",ABC,AT,"13",55843704928514401MT,55843617928514352MT,"17067463","207357388","12912328","13744","2513653",01/01/1920,"1",PD, 
"239","24396485","6600",ABC,AT,"13",88921027924375480MT,88921076924375567MT,"26260946","12874110","12873454","15805","2506301",01/01/1920,"1",PD, 
"240","24396486","6600",ABC,AT,"13",89168522924792232MT,89168524924792331MT,"26260946","12874110","12873454","15805","2511806",01/01/1920,"1",PD, 
"241","24396487","6600",ABC,AT,"13",87395763918206036MT,87395683918206096MT,"26260881","281690694","12873447","13729","2507200",01/01/1920,"1",PD, 
"242","24396488","6600",ABC,AT,"13",76306001921268733MT,76305902921268726MT,"26260958","12908668","12873453","16188","2507705",01/01/1920,"1",PD, 
"243","24396490","6600",ABC,AT,"13",79175842924046457MT,79175931924046410MT,"26260927","12913257","12912336","13726","2505006",01/01/1920,"1",PD, 
"244","24396491","6600",ABC,AT,"13",85229819926960643MT,85229831926960544MT,"26260945","100660148","12912332","13685","2503506",01/01/1920,"1",PD, 
"245","24396493","6600",ABC,AT,"13",80671602916357055MT,80671577916356958MT,"26260878","12874661","12873460","13689","2502508",01/01/1920,"1",PD, 
"246","24396494","6600",ABC,AT,"13",81303428916287284MT,81303391916287191MT,"197197666","12874661","12873460","13689","2502508",01/01/1920,"1",PD, 
"247","24396525","6600",ABC,AT,"13",71879951909890509MT,71880044909890471MT,"26260939","12913075","12912333","13716","2515203",01/01/1920,"1",PD, 
"248","24396526","6600",ABC,AT,"13",75487400921479407MT,75487317921479352MT,"139962991","12908668","12873453","16188","2501351",01/01/1920,"1",PD, 
"249","24396555","6600",ABC,AT,"13",75161011921770224MT,75160920921770190MT,"26260874","12908668","12873453","16188","2501351",01/01/1920,"1",PD, 
"250","24396556","6600",ABC,AT,"13",77432353921924904MT,77432452921924923MT,"26260959","12908668","12873453","16188","2507705",01/01/1920,"1",PD, 
"251","31870145","6600",ABC,AT,"13",65270238916917248MT,65270159916917309MT,"17067452", ,"12873445","13740","2500106",29/08/2015,"1",PD, 
"252","32226486","6600",ABC,AT,"13",91508744919522488MT,91508843919522505MT,"51696859","12876668","12873419","13706","2511509",17/08/2015,"1",PD, 
"253","32797585","6600",ABC,AT,"13",55273310919119032MT,55273408919119041MT,"51696888", ,"188425020","13691","2502409",25/08/2015,"1",PD, 
"254","33995672","6600",ABC,AT,"13",85398628914763750MT,85398541914763700MT,"26260941", ,"12873461","13743","2517001",13/07/2015,"1",PD, 
"255","35863949","6600",ABC,AT,"14",80422178918476055MT,BVA35863949,"26260910","397830518","35863491","13722","2502151",01/01/1920,"1",PD, 
"256","38418429","6600",ABC,AT,"13",63612765925701141MT,63612864925701154MT,"17067357","12909835","12873429","13720","2512101",13/01/2015,"1",PD, 
"257","46741302","6600",ABC,AT,"13",94767251925489311MT,94767316925489387MT,"51696925","12910813","12873487","13730","2509057",01/01/1920,"1",PD, 
"258","46741303","6600",ABC,AT,"13",92364800921459586MT,92364899921459580MT,"51696933","13607733","12873413","13736","2515302",01/01/1920,"1",PD, 
"259","46741304","6600",ABC,AT,"13",93796318921039162MT,93796231921039113MT,"293447724","34820744","12873417","13738","2513703",01/01/1920,"1",PD, 
"260","46741306","6600",ABC,DS,"13",92186071922926759MT,92186110922926851MT,"51696934","13607733","12873413","13736","2515302",01/01/1920,"1",PD, 
"261","46741307","6600",ABC,AT,"14",89428814918545298MT,89428717918545274MT,"51696861","12876668","12873419","13706","2513109",01/01/1920,"1",PD, 
"262","46741308","6600",ABC,AT,"14",88984307918982613MT,88984228918982552MT,"51696865","12876668","12873419","13706","2509404",01/01/1920,"1",PD, 
"263","46741309","6600",ABC,AT,"13",91649224920336616MT,91649231920336517MT,"51696935","13607733","12873413","13736","2515971",01/01/1920,"1",PD, 
"264","46741310","6600",ABC,AT,"13",90874088918909214MT,90874187918909204MT,"51696859","12876668","12873419","13706","2511509",01/01/1920,"1",PD, 
"265","46741311","6600",ABC,AT,"13",91930231922209707MT,91930305922209775MT,"51696929","13607733","12873413","13736","2515302",01/01/1920,"1",PD, 
"266","46741312","6600",ABC,AT,"13",95575528919424569MT,95575603919424504MT,"51696830","211896113","12873482","13694","2504603",01/01/1920,"1",PD, 
"267","46741313","6600",ABC,AT,"13",91605944918312248MT,91605845918312243MT,"120352233","12909677","12873481","13719","2507903",01/01/1920,"1",PD, 
"268","46741314","6600",ABC,AT,"13",90944534921761618MT,90944443921761661MT,"51696928","13607733","12873413","13736","2509107",01/01/1920,"1",PD, 
